"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant"
"ENSSSCT00000067378.2",2.01666165298358,5.28304862927675,15.4790661331999,1.03782329211741e-17,1.6918595308098e-13,30.2889960291095,"ENSSSCT00000067378.2","ENSSSCG00000012042","ATP5PO","ATP5PO","Significant"
"ENSSSCT00000042132.2",-2.59005704356169,5.32788698073912,-14.6642367984846,5.80757672916938e-17,5.83251112318847e-13,28.5492465098365,"ENSSSCT00000042132.2","ENSSSCG00000025667","FBXO2","FBXO2","Significant"
"ENSSSCT00000003699.5",-1.35688757912158,4.95322846313835,-14.5365460228069,7.65417739750134e-17,5.83251112318847e-13,28.2731812526584,"ENSSSCT00000003699.5","ENSSSCG00000003332","SDF4","SDF4","Significant"
"ENSSSCT00000025011.4",-1.35879671039242,5.31093886917372,-14.4595050786715,9.04907946796513e-17,5.83251112318847e-13,28.0813610284085,"ENSSSCT00000025011.4","ENSSSCG00000021229","MAT2B","MAT2B","Significant"
"ENSSSCT00000037564.3",-1.45719878557045,5.77559237554733,-14.3812520159565,1.07333660713811e-16,5.83251112318847e-13,27.8797922865417,"ENSSSCT00000037564.3","ENSSSCG00000016708","SKAP2","SKAP2","Significant"
"ENSSSCT00000078065.2",-1.24656125631164,5.09494900588181,-13.9626070632798,2.70532221088985e-16,1.26006179091218e-12,27.0029976396254,"ENSSSCT00000078065.2","ENSSSCG00000007932",NA,"ENSSSCG00000007932","Significant"
"ENSSSCT00000068317.2",-1.52380988752186,2.65492558453273,-13.5002622386207,7.68055554133823e-16,2.26819613518405e-12,25.9272413025515,"ENSSSCT00000068317.2","ENSSSCG00000000406","PTGES3","PTGES3","Significant"
"ENSSSCT00000035161.3",-1.15243951464282,7.65728918651104,-13.4637863231704,8.3481639130808e-16,2.26819613518405e-12,25.6807228531501,"ENSSSCT00000035161.3","ENSSSCG00000012625","PGRMC1","PGRMC1","Significant"
"ENSSSCT00000044550.2",-1.48506419032877,7.25210001895675,-13.3425914690065,1.10239750962807e-15,2.76481295414719e-12,25.423811918747,"ENSSSCT00000044550.2","ENSSSCG00000037030","RPL15","RPL15","Significant"
"ENSSSCT00000102918.1",-1.77555175394997,4.9603189723026,-13.227784079574,1.43680751275955e-15,3.34611943900088e-12,25.3563979238864,"ENSSSCT00000102918.1","ENSSSCG00000033169","RPS15","RPS15","Significant"
"ENSSSCT00000063010.2",-1.66513555637001,5.64378017336948,-13.1677082923662,1.65147079765399e-15,3.58963692578072e-12,25.1373498125774,"ENSSSCT00000063010.2","ENSSSCG00000040494","RPL3","RPL3","Significant"
"ENSSSCT00000078638.1",11.4566889305446,0.745549611901838,16.0466293289409,3.25241502565771e-18,1.06041739496544e-13,24.9479947567912,"ENSSSCT00000078638.1","ENSSSCG00000032312","RAB11A","RAB11A","Significant"
"ENSSSCT00000041141.3",-1.29860656413973,5.74694785187235,-12.9650759110108,2.64965652094977e-15,5.39639299804724e-12,24.6400760744474,"ENSSSCT00000041141.3","ENSSSCG00000002704","KARS1","KARS1","Significant"
"ENSSSCT00000061801.2",-1.46829155432363,5.98001914810646,-12.5619106114742,6.8860719532844e-15,1.12256744982442e-11,23.6603622071433,"ENSSSCT00000061801.2","ENSSSCG00000029521","CD82","CD82","Significant"
"ENSSSCT00000004298.4",-1.03259009912009,4.84422804857668,-12.4553104585772,8.8932009071895e-15,1.38073296370479e-11,23.5112524686362,"ENSSSCT00000004298.4","ENSSSCG00000003885","CMPK1","CMPK1","Significant"
"ENSSSCT00000077864.1",-1.13868381975376,6.99614937660304,-11.9966331011609,2.71587960527367e-14,3.56927298432386e-11,22.1949531069255,"ENSSSCT00000077864.1","ENSSSCG00000006083","LAPTM4B","LAPTM4B","Significant"
"ENSSSCT00000055234.3",-1.92504348943683,5.00405987490335,-11.7126975771764,5.49183432287985e-14,6.39484879511338e-11,21.6876689468652,"ENSSSCT00000055234.3","ENSSSCG00000028485","YBX1","YBX1","Significant"
"ENSSSCT00000097889.1",-2.36145798588649,2.97050118046215,-11.5519295432986,8.21898764028503e-14,8.12035978860161e-11,21.3997681744456,"ENSSSCT00000097889.1","ENSSSCG00000017915","VMO1","VMO1","Significant"
"ENSSSCT00000106961.1",-9.31886324943823,-0.462463220724436,-12.8871973050492,3.18169106245262e-15,5.4597818631687e-12,21.1395278702361,"ENSSSCT00000106961.1","ENSSSCG00000003419","MAD2L2","MAD2L2","Significant"
"ENSSSCT00000009153.3",1.12176892470406,5.94886580062485,11.5201356077833,8.90460786166044e-14,8.29502384918791e-11,21.0935822757136,"ENSSSCT00000009153.3","ENSSSCG00000008359","RAB1A","RAB1A","Significant"
"ENSSSCT00000018711.6",-1.51087140768213,3.62596284311947,-11.2299514714335,1.86115901852212e-13,1.4111913637185e-10,20.5929921983192,"ENSSSCT00000018711.6","ENSSSCG00000017186","RNF157","RNF157","Significant"
"ENSSSCT00000102279.1",-1.0716828784173,3.79077664904014,-11.2048319912535,1.9848065576547e-13,1.43189237033491e-10,20.5142265578274,"ENSSSCT00000102279.1","ENSSSCG00000039494","NDUFC2","NDUFC2","Significant"
