"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant"
"ENSSSCT00000058648.2",-1.28293694656277,7.04715450196579,-21.448245782009,2.03859007655387e-22,6.64661908559624e-18,41.0696238794676,"ENSSSCT00000058648.2","ENSSSCG00000012771","SLC6A8","SLC6A8","Significant"
"ENSSSCT00000038801.2",-1.37533831354442,5.43041303639765,-20.9816874633558,4.31977896961596e-22,7.04210367626793e-18,40.2497906807653,"ENSSSCT00000038801.2","ENSSSCG00000017953","FXR2","FXR2","Significant"
"ENSSSCT00000054546.3",1.70352874815467,6.85547287211287,19.4693064455409,5.45165935727651e-21,5.92486338948811e-17,37.8061796704048,"ENSSSCT00000054546.3","ENSSSCG00000039094","PLEC","PLEC","Significant"
"ENSSSCT00000051102.3",-1.39817374706707,7.46942815443282,-18.8191272058086,1.70560001639355e-20,1.39023457336238e-16,36.6663530669164,"ENSSSCT00000051102.3","ENSSSCG00000032242","HMGA1","HMGA1","Significant"
"ENSSSCT00000019075.4",1.12518890298051,5.06311270983821,17.5519720836687,1.73246032476058e-19,7.92900883677131e-16,34.3435194257937,"ENSSSCT00000019075.4","ENSSSCG00000017521","SCRN2","SCRN2","Significant"
"ENSSSCT00000044271.3",-1.33119752999219,7.51304775091166,-17.4904123415183,1.94553032432126e-19,7.92900883677131e-16,34.2333362941034,"ENSSSCT00000044271.3","ENSSSCG00000013405","EIF4G2","EIF4G2","Significant"
"ENSSSCT00000040582.3",-2.6687494973131,3.86897236184178,-17.687416632386,1.34375299196311e-19,7.30195375832754e-16,34.1358802765885,"ENSSSCT00000040582.3","ENSSSCG00000001930","PKM","PKM","Significant"
"ENSSSCT00000098878.1",-1.34641455080359,6.76961255268555,-16.7771732936691,7.64004748580981e-19,2.350497165529e-15,32.8778501223467,"ENSSSCT00000098878.1","ENSSSCG00000032242","HMGA1","HMGA1","Significant"
"ENSSSCT00000007108.4",-1.47733668857317,6.46435625001292,-16.7580635732513,7.93015238032727e-19,2.350497165529e-15,32.8477451363754,"ENSSSCT00000007108.4","ENSSSCG00000006489","TMEM79","TMEM79","Significant"
"ENSSSCT00000074756.2",-1.40351854783707,6.11429869339613,-16.3611852593351,1.73257415056891e-18,4.70740396709572e-15,32.0778088467358,"ENSSSCT00000074756.2","ENSSSCG00000010368","GLUD1","GLUD1","Significant"
"ENSSSCT00000002396.5",1.29511160144546,5.74667159854724,16.0155454483981,3.46301619251323e-18,7.60133977106729e-15,31.3907948130779,"ENSSSCT00000002396.5","ENSSSCG00000002142","TEP1","TEP1","Significant"
"ENSSSCT00000012641.4",1.19240699959891,5.05446910172969,15.9598730738247,3.87576789107976e-18,7.89784602004778e-15,31.2776418636909,"ENSSSCT00000012641.4","ENSSSCG00000011551","TADA3","TADA3","Significant"
"ENSSSCT00000100083.1",-1.47552504599324,5.81665410809359,-15.4935592313086,1.00712950483331e-17,1.82424724308807e-14,30.3268731600689,"ENSSSCT00000100083.1","ENSSSCG00000060594",NA,"ENSSSCG00000060594","Significant"
"ENSSSCT00000088957.2",-1.52565887768918,5.56537347734386,-15.3082134247571,1.48084134245113e-17,2.41406755646383e-14,29.948317524379,"ENSSSCT00000088957.2","ENSSSCG00000014031",NA,"ENSSSCG00000014031","Significant"
"ENSSSCT00000050136.3",1.05192547988489,4.96321498239548,15.2576458908028,1.64605998679184e-17,2.43946090042551e-14,29.8461232609768,"ENSSSCT00000050136.3","ENSSSCG00000057050","NPRL2","NPRL2","Significant"
