"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant","contrast"
"ENSSSCT00000016275.5",-6.92712609809644,-1.88951210921029,-5.86009576353504,9.83744494094516e-07,0.0320740054854576,-3.81254434248611,"ENSSSCT00000016275.5","ENSSSCG00000014919","ME3","ME3","Significant","Bronchial_6hpi_Inf_vs_Mock"
"ENSSSCT00000092899.1",-4.29248449082075,-3.13208151500786,-5.49835487020309,3.03385398154317e-06,0.0494578876071167,-3.8391084369321,"ENSSSCT00000092899.1","ENSSSCG00000011300","EXOSC7","EXOSC7","Significant","Bronchial_6hpi_Inf_vs_Mock"
"ENSSSCT00000005691.2",7.94154993632264,-4.01642114868758,10.5921866681427,9.77151929355977e-13,3.18590615047223e-08,10.5691108388451,"ENSSSCT00000005691.2","ENSSSCG00000005163","IFNB1","IFNB1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000036594.4",8.28908963583692,-2.32731409554993,6.67695613302111,7.80138786434273e-08,0.000847854833096768,5.62311554654607,"ENSSSCT00000036594.4","ENSSSCG00000057240","IL28B","IL28B","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000093507.1",2.05993348259662,1.5430652659685,5.61475444169113,2.11189711917102e-06,0.00983661338192171,4.7576387903959,"ENSSSCT00000093507.1","ENSSSCG00000062774",NA,"ENSSSCG00000062774","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000023124.3",5.23194641255146,-4.92135342100471,6.84545385830471,4.64386690572917e-08,0.000757043182971969,4.25682934453995,"ENSSSCT00000023124.3","ENSSSCG00000021504","IFN-ALPHAOMEGA","IFN-ALPHAOMEGA","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000048370.3",3.03428074055392,5.64342499681081,5.46654479586852,3.3493883079385e-06,0.0113607114493684,4.22117264459359,"ENSSSCT00000048370.3","ENSSSCG00000030408","RIGI","RIGI","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000050902.3",2.42444724980655,2.96743490202816,5.36759160981618,4.55567195364781e-06,0.0123777606980611,4.14800439870582,"ENSSSCT00000050902.3","ENSSSCG00000000148",NA,"ENSSSCG00000000148","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000091345.2",1.16172618984021,6.6958072297793,5.43834395383246,3.65637364143578e-06,0.0113607114493684,4.04057726071343,"ENSSSCT00000091345.2","ENSSSCG00000017614","TRIM25","TRIM25","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000030602.5",1.77018167524478,6.2846195890908,5.42317833616318,3.83289859965194e-06,0.0113607114493684,4.01777921605884,"ENSSSCT00000030602.5","ENSSSCG00000030108","ZNFX1","ZNFX1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000008223.4",3.41129685367614,4.51619818016401,5.3325507216034,5.07950498908359e-06,0.0125168585851816,3.94764005247068,"ENSSSCT00000008223.4","ENSSSCG00000007508","ZBP1","ZBP1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000055996.1",5.08159442109337,-2.68222020059269,6.16965942074829,3.75462557518109e-07,0.00306039530633011,3.92584438239072,"ENSSSCT00000055996.1","ENSSSCG00000036439","IL29","IL29","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000035898.3",3.44193152328597,6.0427814019757,5.31435924109231,5.37467857295246e-06,0.0125168585851816,3.74233731668879,"ENSSSCT00000035898.3","ENSSSCG00000010451","IFIT2","IFIT2","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000025376.4",2.3056590373208,2.59226737801414,5.2166472034849,7.27785516085245e-06,0.0153743751655066,3.71002012704632,"ENSSSCT00000025376.4","ENSSSCG00000023178","BATF2","BATF2","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000011440.5",1.26900811493098,6.23245100312676,5.20502640787813,7.54477986284218e-06,0.0153743751655066,3.35138134053584,"ENSSSCT00000011440.5","ENSSSCG00000010454","IFIT5","IFIT5","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000046078.3",2.62571660626681,3.06294731468275,5.03906154568246,1.26086836492945e-05,0.0209488807868442,3.17473178903502,"ENSSSCT00000046078.3","ENSSSCG00000016057","STAT1","STAT1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000058360.3",3.29902281347776,4.7041767366417,5.03291053289464,1.28504973542168e-05,0.0209488807868442,3.06166324496321,"ENSSSCT00000058360.3","ENSSSCG00000030408","RIGI","RIGI","Significant","Bronchial_24hpi_Inf_vs_Mock"
