"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000005691.2",7.94154993632264,-4.01642114868758,10.5921866681427,9.77151929355977e-13,3.18590615047223e-08,10.5691108388451
"ENSSSCT00000056449.3",0.848212558463197,6.08935471430025,5.94441211852439,7.56611007798282e-07,0.00493370905965104,5.62821822866133
"ENSSSCT00000036594.4",8.28908963583692,-2.32731409554993,6.67695613302111,7.80138786434273e-08,0.000847854833096768,5.62311554654607
"ENSSSCT00000093507.1",2.05993348259662,1.5430652659685,5.61475444169113,2.11189711917102e-06,0.00983661338192171,4.7576387903959
"ENSSSCT00000023124.3",5.23194641255146,-4.92135342100471,6.84545385830471,4.64386690572917e-08,0.000757043182971969,4.25682934453995
"ENSSSCT00000048370.3",3.03428074055392,5.64342499681081,5.46654479586852,3.3493883079385e-06,0.0113607114493684,4.22117264459359
"ENSSSCT00000050902.3",2.42444724980655,2.96743490202816,5.36759160981618,4.55567195364781e-06,0.0123777606980611,4.14800439870582
"ENSSSCT00000091345.2",1.16172618984021,6.6958072297793,5.43834395383246,3.65637364143578e-06,0.0113607114493684,4.04057726071343
"ENSSSCT00000030602.5",1.77018167524478,6.2846195890908,5.42317833616318,3.83289859965194e-06,0.0113607114493684,4.01777921605884
"ENSSSCT00000008223.4",3.41129685367614,4.51619818016401,5.3325507216034,5.07950498908359e-06,0.0125168585851816,3.94764005247068
"ENSSSCT00000055996.1",5.08159442109337,-2.68222020059269,6.16965942074829,3.75462557518109e-07,0.00306039530633011,3.92584438239072
"ENSSSCT00000035898.3",3.44193152328597,6.0427814019757,5.31435924109231,5.37467857295246e-06,0.0125168585851816,3.74233731668879
"ENSSSCT00000025376.4",2.3056590373208,2.59226737801414,5.2166472034849,7.27785516085245e-06,0.0153743751655066,3.71002012704632
"ENSSSCT00000011440.5",1.26900811493098,6.23245100312676,5.20502640787813,7.54477986284218e-06,0.0153743751655066,3.35138134053584
"ENSSSCT00000046078.3",2.62571660626681,3.06294731468275,5.03906154568246,1.26086836492945e-05,0.0209488807868442,3.17473178903502
