"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000005691.2",3.48478558954094,-4.02461202166939,8.5242818875498,2.43644691800608e-10,7.95402460852266e-06,5.25208746386847
"ENSSSCT00000051374.3",0.49146030208179,4.81122285586583,5.09356309603747,9.98795001877044e-06,0.10868887210426,3.34315335351782
"ENSSSCT00000056449.3",0.35739024934279,6.0901319944997,5.12359715297867,9.09232519617438e-06,0.10868887210426,3.33009103385442
"ENSSSCT00000037969.3",-0.425956787226162,3.19086290222935,-4.79384114186414,2.53972132475755e-05,0.112688103703856,2.54782800346199
"ENSSSCT00000032275.4",-1.23204156267422,3.39400389525929,-4.8123222790264,2.39831743872158e-05,0.112688103703856,2.52856806406057
"ENSSSCT00000102025.1",0.419978847073483,9.71359315922139,4.80163762680173,2.47909073072695e-05,0.112688103703856,2.17096734408015
"ENSSSCT00000106104.1",0.463448434164073,12.2476259948962,4.76681532402566,2.76145570554079e-05,0.112688103703856,1.98061815586936
"ENSSSCT00000059264.2",-1.62762005873185,1.85568757774735,-4.47753018229699,6.72514297076652e-05,0.219549017423644,1.48523938618794
"ENSSSCT00000074756.2",-0.366255091179213,6.12178973326265,-4.34159764038633,0.000101734899660349,0.221415835620783,1.02410022423211
"ENSSSCT00000008164.5",-0.230088885855551,5.12695572922093,-4.31562012962279,0.000110069873084291,0.22458381729436,1.01787981406881
"ENSSSCT00000016131.6",0.48928570648899,3.35982324692958,4.21114995984471,0.000150887635410535,0.232242464908652,0.905039801060755
"ENSSSCT00000024643.4",0.613882641513581,4.42521868727939,4.2225091656878,0.000145815213039019,0.232242464908652,0.825179095091536
"ENSSSCT00000091787.1",2.52402921902724,1.78861349378868,4.2373232129721,0.000139450099011506,0.232242464908652,0.722688019234907
"ENSSSCT00000033821.3",1.24508480062612,0.418918315239383,4.39432237025224,8.66765705369884e-05,0.221415835620783,0.65024108434093
"ENSSSCT00000000833.5",0.263236607521514,5.49005803410103,4.19899367835431,0.000156507205415375,0.232242464908652,0.646277112783606
"ENSSSCT00000045280.3",0.290339067466391,4.97343497559789,4.15968299607992,0.000176116889036191,0.249978780846761,0.582768110655044
"ENSSSCT00000018255.6",-0.301020602286442,4.7101654233308,-4.11899372055399,0.000198939349132277,0.270607249657179,0.50595594907485
"ENSSSCT00000042991.2",-0.368892267629264,3.22078241075688,-4.06088425449653,0.000236609427694899,0.276555342407122,0.503868895314511
"ENSSSCT00000011105.5",-0.309001279550344,3.07521325900096,-4.04426606827598,0.000248605482482057,0.279861192452042,0.464290883764836
"ENSSSCT00000048802.3",-0.810033338201159,2.38140565057069,-4.01627375661349,0.000270165191410779,0.293993761293209,0.389204031343311
"ENSSSCT00000016913.5",0.346120860626416,5.18171339628577,4.08257920559719,0.000221795112094665,0.276555342407122,0.347319300839979
"ENSSSCT00000050902.3",1.0072227717978,2.96520138957054,3.9616350461536,0.000317617928826374,0.312059329876098,0.25851192359824
"ENSSSCT00000038822.3",0.573904758029728,3.86475659983806,3.99080787279911,0.000291353883165984,0.306823834510861,0.247748845793648
"ENSSSCT00000044485.2",-0.243216338426228,6.1417622363431,-4.0600506403584,0.000237197500073498,0.276555342407122,0.195015450697627
"ENSSSCT00000067795.1",-1.41019440087386,1.85551287660374,-3.88479871821975,0.000398297627047541,0.337608805597466,0.00543873455925326
"ENSSSCT00000036594.4",2.99071124543184,-2.29066756851417,4.36684098270003,9.42298205687425e-05,0.221415835620783,-0.0128092285803136
"ENSSSCT00000093936.1",0.394774776762152,4.2019165613577,3.89864949278841,0.00038241399470606,0.33741316949119,-0.0214395271466508
"ENSSSCT00000009078.5",0.326557396045391,3.28805817571591,3.85739686464854,0.000431629943016894,0.337608805597466,-0.0431038297896986
"ENSSSCT00000102304.1",-2.57311902622858,-2.52325076143969,-4.49051287799785,6.46344281772396e-05,0.219549017423644,-0.0616027776557555
"ENSSSCT00000076030.2",-1.74702228579476,2.33254101208095,-3.83987426761685,0.000454347307541386,0.337608805597466,-0.0921632114769642
"ENSSSCT00000016361.6",0.39384107062183,5.90559087858624,3.9440364000795,0.00033456094301487,0.312059329876098,-0.118165162664475
"ENSSSCT00000106047.1",-1.20182550343782,2.22918051608106,-3.80268493367724,0.000506468106660854,0.367425729112227,-0.178107138420256
"ENSSSCT00000023124.3",1.92752364514233,-4.94371159041161,4.78943409860582,2.57463926207091e-05,0.112688103703856,-0.206100063337718
"ENSSSCT00000003906.5",-0.193187817039985,5.12515076612043,-3.86792947548432,0.000418509308686825,0.337608805597466,-0.248291819572475
"ENSSSCT00000013040.5",0.567578870583734,3.71533889536135,3.77326758667077,0.000551756387682405,0.383247638984676,-0.295043272211151
"ENSSSCT00000068778.2",-2.11980534721244,0.854482148491485,-3.85002721851747,0.00044104685176728,0.337608805597466,-0.314217233127796
"ENSSSCT00000044641.2",0.494987813773082,3.73405093016145,3.77558103337635,0.000548057208879965,0.383247638984676,-0.324307091764264
"ENSSSCT00000011621.5",-0.65619195542118,5.30977180376465,-3.83936374838573,0.000455026264972386,0.337608805597466,-0.326188716481634
"ENSSSCT00000050444.2",-0.262281074585935,3.01271136345138,-3.72799210637708,0.000629209147487583,0.39234515466614,-0.368538591064838
"ENSSSCT00000098274.1",0.406573864806631,8.16150243330426,3.90729757031626,0.000372810489563185,0.33741316949119,-0.376948607451271
"ENSSSCT00000048093.3",-0.236857950230046,4.13676066388912,-3.74697365303232,0.000595535580454847,0.388837091190579,-0.448250046446275
"ENSSSCT00000012909.5",-3.17752496217648,-2.61186961605231,-4.36807865332324,9.38761656707566e-05,0.221415835620783,-0.467384595074772
"ENSSSCT00000004148.4",0.373307237266739,2.1447943604412,3.66485334257699,0.000754981967171222,0.396353508017644,-0.508381347161072
"ENSSSCT00000055996.1",1.89103110350394,-2.69274041788197,4.28749368071842,0.000119849512474866,0.230153363779675,-0.524540068338755
"ENSSSCT00000082324.2",0.305500423065318,4.47386877374562,3.71729947396982,0.000648981141701021,0.39234515466614,-0.566952682050298
"ENSSSCT00000037196.4",-1.31556326047249,0.195110012011223,-3.7365429670998,0.000613817896162097,0.39234515466614,-0.590804522606065
"ENSSSCT00000012161.3",-1.42776927119653,3.63725383214858,-3.62763979788099,0.000840135160186487,0.396353508017644,-0.593759581194178
"ENSSSCT00000095612.1",-3.31857049414307,-0.838631582662108,-3.85384403116161,0.000436145128396891,0.337608805597466,-0.615794431501667
"ENSSSCT00000064280.3",-2.08388454660724,0.0424430435762263,-3.75980070984768,0.000573774430900319,0.388837091190579,-0.692427562343279
"ENSSSCT00000016332.4",-1.74954249242094,3.13787927606001,-3.5836969978456,0.000952632428580333,0.396353508017644,-0.703298126393553
"ENSSSCT00000064255.3",-0.953949542446132,2.83030982454713,-3.57641838543502,0.000972614842887155,0.396353508017644,-0.722659414692135
