"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000074756.2",0.758758393249155,6.12178973326265,4.49669432207969,6.34238484455168e-05,0.517633739088085,-0.969681122326778
"ENSSSCT00000030602.5",1.17287774115013,6.3025556627788,3.51320331489415,0.00116397343928272,0.99960281654872,-2.10657497731634
"ENSSSCT00000058360.3",2.22549586515043,4.72145275185467,3.7422018123764,0.000603833064694568,0.99960281654872,-2.39337901750196
"ENSSSCT00000013187.5",0.829693399067605,4.77928101591447,3.50829172102833,0.00118026859973521,0.99960281654872,-2.56313397571489
"ENSSSCT00000011440.5",0.783921281454699,6.23441112734234,3.16394682984693,0.00306513462054861,0.99960281654872,-2.58473434949358
"ENSSSCT00000022376.4",0.927271659214355,7.6048893847889,3.00548476094363,0.00468573277439313,0.99960281654872,-2.6037820750164
"ENSSSCT00000089370.2",1.51739618424533,8.20204585687395,2.93742750173583,0.00560509364928591,0.99960281654872,-2.65269724367464
"ENSSSCT00000030027.4",0.424396550665501,4.86573460097207,3.27612687553235,0.00225642582128272,0.99960281654872,-2.80720775941652
"ENSSSCT00000005802.5",0.408737691436569,9.9748295236274,2.74867484359855,0.00911613540109042,0.99960281654872,-2.83127578926248
"ENSSSCT00000045239.3",0.837094798226847,3.63185815534871,3.904762575764,0.00037560100554098,0.99960281654872,-2.87605071104522
"ENSSSCT00000086037.2",0.654966029880752,5.13661725007709,3.11695719225098,0.00347983501046462,0.99960281654872,-2.93200533809643
"ENSSSCT00000048370.3",1.65381754841486,5.65538788171592,2.9703782438388,0.00514064625166442,0.99960281654872,-2.94634236660713
"ENSSSCT00000048595.2",1.28437529956,4.45145663213339,3.19606928405254,0.00280908785573375,0.99960281654872,-2.96893903954337
"ENSSSCT00000016202.5",0.523928033592949,5.77366863169602,2.92731468419427,0.00575535064688413,0.99960281654872,-2.98044494408227
"ENSSSCT00000080595.2",1.08228729501336,6.22397220838253,2.83144127552643,0.00737965035180796,0.99960281654872,-2.99950397172818
"ENSSSCT00000095040.1",0.27240735497706,4.8386385695717,3.10810701724927,0.00356366103286815,0.99960281654872,-3.00774658900992
"ENSSSCT00000091345.2",0.606527107721825,6.70504204445572,2.78142338789282,0.00838801959427414,0.99960281654872,-3.00968866318314
"ENSSSCT00000055212.2",1.91826772512409,6.54432484747205,2.79085768084272,0.00818851890988965,0.99960281654872,-3.01081493135837
"ENSSSCT00000088468.1",0.874344313576525,5.13474486851299,3.01367166601744,0.0045852345638379,0.99960281654872,-3.01638205476299
"ENSSSCT00000015371.5",1.28000137420269,5.64818368216765,2.9663022223828,0.00519607388817459,0.99960281654872,-3.018604331419
