"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000088087.1",2.18942220211092,5.26130869428733,3.94263476199292,0.000346547663235323,0.85860851149872,-0.698290491734989
"ENSSSCT00000014769.4",-2.05153530116651,5.47029417480961,-3.86168207616733,0.000438874251071678,0.85860851149872,-0.718865015295595
"ENSSSCT00000059795.2",0.52138219255662,8.87660154823141,3.40019345393591,0.00163163736912252,0.999921722309542,-1.2256997472007
"ENSSSCT00000053628.2",-0.764748886406045,4.95361444028845,-3.54993930475882,0.00107278356853851,0.999921722309542,-1.31926558928978
"ENSSSCT00000069707.2",-0.834743177680154,5.1295030332875,-3.47516116623175,0.00132383491856873,0.999921722309542,-1.44754543905807
"ENSSSCT00000073254.2",-0.921347859095594,4.15743873421475,-3.48451723620374,0.001289581516411,0.999921722309542,-1.69842802387287
"ENSSSCT00000052410.3",0.273916572027427,6.33342266481278,3.16624158830642,0.00309499750276622,0.999921722309542,-1.83340900543412
"ENSSSCT00000071367.2",-0.684078054724677,4.81856999650682,-3.2777449306389,0.00228655859345617,0.999921722309542,-1.84137927888912
"ENSSSCT00000060433.2",1.34845885525857,5.60618965520867,3.16990626890659,0.00306457599427829,0.999921722309542,-1.87431803608156
"ENSSSCT00000001758.5",0.334971220991314,6.08732201008951,3.13873818420559,0.00333262588355328,0.999921722309542,-1.90367153172621
"ENSSSCT00000063045.3",-0.468004109435114,3.92423940366198,-3.47134141991166,0.00133806900956131,0.999921722309542,-1.90708594308934
"ENSSSCT00000014538.4",-0.798235383478953,4.70679695388717,-3.2658350028148,0.00236220751503764,0.999921722309542,-1.92815674801904
"ENSSSCT00000079205.1",0.746811168589428,3.31393700268029,3.66657094045889,0.000770261896760235,0.999921722309542,-1.97550552118653
"ENSSSCT00000038180.3",-1.50767118864124,3.67464032380132,-3.56014869982014,0.00104228595983538,0.999921722309542,-2.00957650564999
"ENSSSCT00000044485.2",-0.376825431718146,6.13651105745405,-3.0767554520609,0.00393306229488055,0.999921722309542,-2.02807040113806
"ENSSSCT00000056449.3",0.448983398770873,6.08935471430025,3.05586217337352,0.00415754253105167,0.999921722309542,-2.06342477940638
