"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000067378.2",2.01666165298358,5.28304862927675,15.4790661331999,1.03782329211741e-17,1.6918595308098e-13,30.2889960291095
"ENSSSCT00000042132.2",-2.59005704356169,5.32788698073912,-14.6642367984846,5.80757672916938e-17,5.83251112318847e-13,28.5492465098365
"ENSSSCT00000003699.5",-1.35688757912158,4.95322846313835,-14.5365460228069,7.65417739750134e-17,5.83251112318847e-13,28.2731812526584
"ENSSSCT00000025011.4",-1.35879671039242,5.31093886917372,-14.4595050786715,9.04907946796513e-17,5.83251112318847e-13,28.0813610284085
"ENSSSCT00000037564.3",-1.45719878557045,5.77559237554733,-14.3812520159565,1.07333660713811e-16,5.83251112318847e-13,27.8797922865417
"ENSSSCT00000078065.2",-1.24656125631164,5.09494900588181,-13.9626070632798,2.70532221088985e-16,1.26006179091218e-12,27.0029976396254
"ENSSSCT00000010714.4",-0.727046763388026,4.79568666308258,-13.7785192427513,4.08703493859622e-16,1.66567108922489e-12,26.6000210638509
"ENSSSCT00000014116.4",-0.912237684435997,6.80970175302923,-13.6424597511999,5.55781820093566e-16,2.01341227359229e-12,26.1401446893258
"ENSSSCT00000083043.2",-0.790845193541919,5.71802242832872,-13.5760032947636,6.46305797368553e-16,2.10721542174043e-12,26.0684784893252
"ENSSSCT00000068317.2",-1.52380988752186,2.65492558453273,-13.5002622386207,7.68055554133823e-16,2.26819613518405e-12,25.9272413025515
"ENSSSCT00000035161.3",-1.15243951464282,7.65728918651104,-13.4637863231704,8.3481639130808e-16,2.26819613518405e-12,25.6807228531501
"ENSSSCT00000044550.2",-1.48506419032877,7.25210001895675,-13.3425914690065,1.10239750962807e-15,2.76481295414719e-12,25.423811918747
"ENSSSCT00000102918.1",-1.77555175394997,4.9603189723026,-13.227784079574,1.43680751275955e-15,3.34611943900088e-12,25.3563979238864
"ENSSSCT00000063010.2",-1.66513555637001,5.64378017336948,-13.1677082923662,1.65147079765399e-15,3.58963692578072e-12,25.1373498125774
"ENSSSCT00000078638.1",11.4566889305446,0.745549611901838,16.0466293289409,3.25241502565771e-18,1.06041739496544e-13,24.9479947567912
"ENSSSCT00000041141.3",-1.29860656413973,5.74694785187235,-12.9650759110108,2.64965652094977e-15,5.39639299804724e-12,24.6400760744474
"ENSSSCT00000035487.2",-0.975618745245321,6.53192413276846,-12.9394722531878,2.81372472600917e-15,5.39639299804724e-12,24.5144336070808
"ENSSSCT00000017895.3",-0.868290496081697,5.92979588402472,-12.8928232166603,3.13983495331099e-15,5.4597818631687e-12,24.4543795438245
"ENSSSCT00000061801.2",-1.46829155432363,5.98001914810646,-12.5619106114742,6.8860719532844e-15,1.12256744982442e-11,23.6603622071433
"ENSSSCT00000004298.4",-1.03259009912009,4.84422804857668,-12.4553104585772,8.8932009071895e-15,1.38073296370479e-11,23.5112524686362
"ENSSSCT00000054653.3",-0.982509733807072,7.57304476667896,-12.4178903521673,9.73183722677867e-15,1.4422582770086e-11,23.1929512176779
"ENSSSCT00000031590.4",-0.73641607285784,7.44528524583413,-12.1441397145453,1.89130261271052e-14,2.68104479933973e-11,22.5300566857586
"ENSSSCT00000053671.2",-0.709390426853865,6.18593776906613,-11.9775915119036,2.84631019483561e-14,3.56927298432386e-11,22.2013644507988
"ENSSSCT00000077864.1",-1.13868381975376,6.99614937660304,-11.9966331011609,2.71587960527367e-14,3.56927298432386e-11,22.1949531069255
"ENSSSCT00000042547.2",-0.802761008140531,6.81551709150706,-11.9890651981271,2.76697172140101e-14,3.56927298432386e-11,22.1873492332933
"ENSSSCT00000104153.1",0.841658054776991,7.18734545452936,11.9499673554163,3.0469885830522e-14,3.67940799117903e-11,22.0681268303951
"ENSSSCT00000055234.3",-1.92504348943683,5.00405987490335,-11.7126975771764,5.49183432287985e-14,6.39484879511338e-11,21.6876689468652
"ENSSSCT00000018192.5",0.846571050148959,5.37696608765288,11.6858271844614,5.87333618246754e-14,6.60325009976455e-11,21.5634918452418
"ENSSSCT00000079703.2",-0.828946024106967,4.79546403372998,-11.626376936813,6.81644047565018e-14,6.94510078962808e-11,21.4684390423251
"ENSSSCT00000048013.3",-0.67559282591561,5.19842970608156,-11.6484362738085,6.44967565340664e-14,6.94510078962808e-11,21.4678889368438
"ENSSSCT00000097889.1",-2.36145798588649,2.97050118046215,-11.5519295432986,8.21898764028503e-14,8.12035978860161e-11,21.3997681744456
"ENSSSCT00000005048.5",0.543538093423634,3.94324627778886,11.5354380596232,8.56762167715789e-14,8.2158452106487e-11,21.3350106696389
"ENSSSCT00000055707.3",-0.990044917352158,8.81794142395228,-11.630845041381,6.74047191672062e-14,6.94510078962808e-11,21.1698237145913
"ENSSSCT00000106961.1",-9.31886324943823,-0.462463220724436,-12.8871973050492,3.18169106245262e-15,5.4597818631687e-12,21.1395278702361
"ENSSSCT00000009153.3",1.12176892470406,5.94886580062485,11.5201356077833,8.90460786166044e-14,8.29502384918791e-11,21.0935822757136
"ENSSSCT00000059938.3",-0.944705408643906,5.45710093822172,-11.4114812950737,1.17206213022817e-13,1.00562930773577e-10,20.840734254062
"ENSSSCT00000065777.3",0.524346597909844,6.30739396600066,11.4179411541049,1.15302175466392e-13,1.00562930773577e-10,20.7860359606668
"ENSSSCT00000018711.6",-1.51087140768213,3.62596284311947,-11.2299514714335,1.86115901852212e-13,1.4111913637185e-10,20.5929921983192
"ENSSSCT00000102279.1",-1.0716828784173,3.79077664904014,-11.2048319912535,1.9848065576547e-13,1.43189237033491e-10,20.5142265578274
"ENSSSCT00000012712.5",1.05412845879264,6.34292152644893,11.2935478030434,1.5820367448562e-13,1.2580664885193e-10,20.4705387353523
"ENSSSCT00000101945.1",-1.29239052402631,4.24016225490297,-11.1979322783092,2.02021374786548e-13,1.43189237033491e-10,20.4475894010315
"ENSSSCT00000074756.2",0.962545095335221,6.11429869339613,11.2703195369607,1.67866777292817e-13,1.30312581115595e-10,20.4377026089715
"ENSSSCT00000038103.2",-1.38507479006146,3.63667125129393,-11.1332660492972,2.3850499888444e-13,1.53216278268076e-10,20.3494012742887
"ENSSSCT00000005518.5",-1.49151445912185,8.37859723433814,-11.2969381833243,1.56841463440318e-13,1.2580664885193e-10,20.3439085425958
"ENSSSCT00000008438.5",-1.93083460844273,4.34103792146408,-11.1523342006487,2.27097864110082e-13,1.53216278268076e-10,20.3168211318393
"ENSSSCT00000091460.2",-1.26543705887771,3.6503041872793,-11.1205464923756,2.46437453882956e-13,1.53216278268076e-10,20.3144708140811
"ENSSSCT00000073797.1",-1.03668974691746,4.52721417949692,-11.1178296180087,2.48166381803614e-13,1.53216278268076e-10,20.1983532332734
"ENSSSCT00000083966.2",-1.16803942987212,7.84484071327881,-11.2192770172811,1.91271369143288e-13,1.41732084535176e-10,20.1727851492369
"ENSSSCT00000076495.2",-1.58424117179869,6.14906371372293,-11.151447886528,2.27615550992468e-13,1.53216278268076e-10,20.1248890356187
"ENSSSCT00000058734.3",-0.711180345798723,5.70057616569748,-11.1040426851722,2.57132428202655e-13,1.55250846094803e-10,20.0239253146024
"ENSSSCT00000063742.3",1.26859233299419,4.05371168418229,11.0149727161882,3.23589051193666e-13,1.84321186935975e-10,20.0117299245439
"ENSSSCT00000024462.3",-1.4152045111539,6.4557692055248,-11.1164276336334,2.49063389406454e-13,1.53216278268076e-10,19.9871862814223
"ENSSSCT00000053190.2",1.08980687676542,3.48763403415371,10.985049942702,3.49649860225375e-13,1.92675439869785e-10,19.9832961906249
"ENSSSCT00000038996.3",-1.1800721474678,4.54821359391628,-11.025519926361,3.14882460741256e-13,1.83329066964427e-10,19.9544315804265
"ENSSSCT00000010797.5",-1.02449335205485,7.4685106605875,-11.1275487401449,2.42037840412334e-13,1.53216278268076e-10,19.9532442552578
"ENSSSCT00000056985.3",-1.10840041743909,4.53582201181724,-11.0098650509575,3.27893167779614e-13,1.84321186935975e-10,19.921446611725
"ENSSSCT00000049322.3",-1.00111947892534,6.5554921459464,-11.0274632327813,3.13304522493628e-13,1.83329066964427e-10,19.7525966470032
"ENSSSCT00000009051.5",-1.2914929916551,4.495641704317,-10.9066021755561,4.28611259438216e-13,2.25394217785865e-10,19.6580516973393
"ENSSSCT00000055147.3",-1.43846154538011,5.51527719764943,-10.9141153854261,4.20319327951043e-13,2.24657235549439e-10,19.5598268683671
"ENSSSCT00000026666.4",-0.696920709750142,8.10257253673776,-10.9796523612985,3.54573867997397e-13,1.92675439869785e-10,19.5228785412267
"ENSSSCT00000010395.5",-0.818438671158499,4.11784876516489,-10.8104004074956,5.50780728201583e-13,2.79457186924143e-10,19.4426860320061
"ENSSSCT00000072184.2",-0.793095139870418,4.01379601948041,-10.8060135355094,5.57131552879073e-13,2.79457186924143e-10,19.4404642201724
"ENSSSCT00000065649.4",-1.81491831312638,4.1911495090132,-10.7550288927488,6.36654561220054e-13,3.14507353242707e-10,19.3048164264061
"ENSSSCT00000030252.4",0.617626012680851,5.029377177765,10.7310611687793,6.7794542090961e-13,3.29906455273686e-10,19.1265591405312
"ENSSSCT00000011132.5",-0.880213737328333,4.35385284849513,-10.6614296005732,8.14075193163965e-13,3.84668226056781e-10,19.0275277000608
"ENSSSCT00000025029.4",-1.39681486363897,6.56462178551459,-10.6881170039191,7.58881810045547e-13,3.63861507863603e-10,18.8649003849892
"ENSSSCT00000008164.5",0.543245689222797,5.1185871074142,10.6074694939305,9.38505435113531e-13,4.26528643256835e-10,18.7779248062029
"ENSSSCT00000019642.4",-0.587198091011816,4.91140220414935,-10.596388536993,9.66367603610622e-13,4.31608895179736e-10,18.7700630024422
"ENSSSCT00000027329.4",0.469411786480418,6.29916498689652,10.6163863106698,9.16679858863913e-13,4.26528643256835e-10,18.6847580935208
"ENSSSCT00000004598.2",-3.95342572822903,-0.334476572091077,-10.8532924382924,4.92440890503926e-13,2.54849885618889e-10,18.663625080115
