"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000058648.2",-1.28293694656277,7.04715450196579,-21.448245782009,2.03859007655387e-22,6.64661908559624e-18,41.0696238794676
"ENSSSCT00000038801.2",-1.37533831354442,5.43041303639765,-20.9816874633558,4.31977896961596e-22,7.04210367626793e-18,40.2497906807653
"ENSSSCT00000054546.3",1.70352874815467,6.85547287211287,19.4693064455409,5.45165935727651e-21,5.92486338948811e-17,37.8061796704048
"ENSSSCT00000051102.3",-1.39817374706707,7.46942815443282,-18.8191272058086,1.70560001639355e-20,1.39023457336238e-16,36.6663530669164
"ENSSSCT00000045859.2",-0.823519801543051,7.45936629227836,-17.7348475136765,1.22980767725312e-19,7.30195375832754e-16,34.6932722191139
"ENSSSCT00000019075.4",1.12518890298051,5.06311270983821,17.5519720836687,1.73246032476058e-19,7.92900883677131e-16,34.3435194257937
"ENSSSCT00000044271.3",-1.33119752999219,7.51304775091166,-17.4904123415183,1.94553032432126e-19,7.92900883677131e-16,34.2333362941034
"ENSSSCT00000040582.3",-2.6687494973131,3.86897236184178,-17.687416632386,1.34375299196311e-19,7.30195375832754e-16,34.1358802765885
"ENSSSCT00000101831.2",0.755915567388612,4.83273644440312,17.1657075326851,3.60649610696864e-19,1.30651332301784e-15,33.6116428988158
"ENSSSCT00000098878.1",-1.34641455080359,6.76961255268555,-16.7771732936691,7.64004748580981e-19,2.350497165529e-15,32.8778501223467
"ENSSSCT00000007108.4",-1.47733668857317,6.46435625001292,-16.7580635732513,7.93015238032727e-19,2.350497165529e-15,32.8477451363754
"ENSSSCT00000074756.2",-1.40351854783707,6.11429869339613,-16.3611852593351,1.73257415056891e-18,4.70740396709572e-15,32.0778088467358
"ENSSSCT00000056657.2",0.954154219369282,4.05622293442932,16.2179601663732,2.30530716168075e-18,5.78171036149532e-15,31.6884856880603
"ENSSSCT00000002396.5",1.29511160144546,5.74667159854724,16.0155454483981,3.46301619251323e-18,7.60133977106729e-15,31.3907948130779
"ENSSSCT00000003963.4",-0.995385582550838,6.10806104938512,-16.0106945204485,3.49711987995367e-18,7.60133977106729e-15,31.3709002438187
"ENSSSCT00000012641.4",1.19240699959891,5.05446910172969,15.9598730738247,3.87576789107976e-18,7.89784602004778e-15,31.2776418636909
"ENSSSCT00000003439.5",0.870241547079701,4.73317603304833,15.7426572876135,6.03114558753555e-18,1.15670276903535e-14,30.8322659169457
"ENSSSCT00000100083.1",-1.47552504599324,5.81665410809359,-15.4935592313086,1.00712950483331e-17,1.82424724308807e-14,30.3268731600689
"ENSSSCT00000088957.2",-1.52565887768918,5.56537347734386,-15.3082134247571,1.48084134245113e-17,2.41406755646383e-14,29.948317524379
"ENSSSCT00000050136.3",1.05192547988489,4.96321498239548,15.2576458908028,1.64605998679184e-17,2.43946090042551e-14,29.8461232609768
"ENSSSCT00000055543.3",1.04826258042547,3.60841380033736,15.2784167255466,1.57602555657836e-17,2.43946090042551e-14,29.7187470997815
"ENSSSCT00000003487.5",1.25940479173394,4.63890086750807,15.1113201063718,2.23874611693469e-17,3.17356862593646e-14,29.5307702627819
"ENSSSCT00000043368.3",-0.960536442580358,6.41305985997514,-15.0172872918639,2.73107126147244e-17,3.71016030871031e-14,29.3125707672247
"ENSSSCT00000049871.3",0.68586064201828,6.75973044133341,14.9664044267051,3.04236210056152e-17,3.96772695706831e-14,29.1897521584094
"ENSSSCT00000027274.4",1.24710702761913,5.36141118341936,14.8721260395538,3.71856168824867e-17,4.66307635706383e-14,29.0361068232559
"ENSSSCT00000043692.3",1.59013245910268,2.17984081006712,15.3949851491196,1.23578272371464e-17,2.12060315389432e-14,28.9441618835312
"ENSSSCT00000059304.3",0.924290087176205,4.19431229973529,14.7395510212111,4.93882429891472e-17,5.96390472006724e-14,28.7302462775845
"ENSSSCT00000044166.2",0.863395569878985,4.34492314607957,14.6448192985351,6.05591919921583e-17,7.05168534182974e-14,28.5429682381901
"ENSSSCT00000088943.2",0.801040593564998,5.41603814405441,14.5951986705314,6.74108554725643e-17,7.53547756128839e-14,28.4383793527232
"ENSSSCT00000038625.3",-0.89890607830972,5.35395015416534,-14.5679560567913,7.15046941885751e-17,7.53547756128839e-14,28.3821651420309
