"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000074756.2",-1.07306166584654,6.11429869339613,-5.47616106086887,3.25069738419279e-06,0.0529928687571108,4.3124585033844
"ENSSSCT00000005691.2",4.8661577117352,-4.01642114868758,6.14361718732583,4.07119217010778e-07,0.0132737149514194,3.64289524661286
"ENSSSCT00000032275.4",-4.68161746620246,3.38708068656051,-5.27457230841616,6.08111067764969e-06,0.0660895108446969,3.29470158082057
"ENSSSCT00000100754.1",-1.58836900214657,1.07468997618474,-4.82931458240452,2.40566386601575e-05,0.148007842989321,2.19306545017084
"ENSSSCT00000045514.2",-1.10132169199496,6.86522402419537,-4.73853075825596,3.17769261724097e-05,0.148007842989321,1.96490826031028
"ENSSSCT00000067795.1",-6.02047061482351,1.8268962815849,-4.78687362146845,2.74025524393641e-05,0.148007842989321,1.69694941974502
"ENSSSCT00000050042.3",-1.01699957338409,2.90445776754432,-4.50494771469378,6.47429997088328e-05,0.153471609292125,1.69622004580141
"ENSSSCT00000048802.3",-2.56498306725097,2.37464944231755,-4.52938574102906,6.01175485469082e-05,0.153471609292125,1.63556524438004
"ENSSSCT00000101408.1",7.05727510616144,-3.90418392754676,4.99619020213364,1.43928265030633e-05,0.117315928826469,1.49754940896326
"ENSSSCT00000015371.5",-2.27848661905574,5.64151772904583,-4.48776498921785,6.82032431538554e-05,0.153471609292125,1.42381629722876
"ENSSSCT00000103857.1",-2.68483619659761,1.97525718065902,-4.50509987762641,6.47131426792667e-05,0.153471609292125,1.39073575501041
"ENSSSCT00000059264.2",-5.54234569163013,1.82418305452708,-4.58347634019095,5.10060709166123e-05,0.153471609292125,1.3177565140746
"ENSSSCT00000089601.2",-1.88747930129162,5.3185852861534,-4.3910873170578,9.13429204586502e-05,0.162099087427267,1.17970803649393
"ENSSSCT00000034292.4",1.1025308737786,2.4253495552711,4.30130404623861,0.000119651725699924,0.185767850700968,1.13246570089591
"ENSSSCT00000044485.2",-0.557355552069218,6.13651105745405,-4.44345469009613,7.79883916368835e-05,0.153471609292125,1.12497373468856
"ENSSSCT00000107530.1",-0.769657941746666,7.18893609467108,-4.45078132479014,7.62801163295182e-05,0.153471609292125,1.06432581427414
