"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000032312","RAB11A","protein_coding",4,23.7971656597626,5.24737683039803e-41,8.00172492867396e-37
"ENSSSCG00000053522","ATP6V1G1","protein_coding",4,19.6783883220886,1.719805737326e-31,1.31126588442421e-27
"ENSSSCG00000033169","RPS15","protein_coding",4,29.5076292928115,8.07496031018803e-29,4.10450232566857e-25
"ENSSSCG00000028485","YBX1","protein_coding",3,25.0206039258797,2.12067542303227e-27,7.71437383057452e-24
"ENSSSCG00000028485","YBX1","protein_coding_CDS_not_defined",3,25.0206039258797,2.12067542303227e-27,7.71437383057452e-24
"ENSSSCG00000001862","ETFA","protein_coding",7,30.8976035009717,2.52946876207441e-27,7.71437383057452e-24
"ENSSSCG00000014913","PICALM","protein_coding",6,29.0363770234234,8.87746488969897e-27,2.18188765622445e-23
"ENSSSCG00000008633","PDIA6","protein_coding",4,23.8032458735701,1.00158788075094e-26,2.18188765622445e-23
"ENSSSCG00000003419","MAD2L2","nonsense_mediated_decay",7,31.2044157013717,1.58768339484539e-26,3.02632301099968e-23
"ENSSSCG00000003419","MAD2L2","protein_coding",7,31.2044157013717,1.58768339484539e-26,3.02632301099968e-23
"ENSSSCG00000003419","MAD2L2","protein_coding_CDS_not_defined",7,31.2044157013717,1.58768339484539e-26,3.02632301099968e-23
"ENSSSCG00000011700","CP","protein_coding",4,23.2770680161552,2.71002415299718e-26,4.59168425656155e-23
"ENSSSCG00000006062","YWHAZ","protein_coding",5,31.4783969213504,2.47932938124442e-25,3.78072937345962e-22
"ENSSSCG00000017626","SRSF1","protein_coding",5,27.0454674095177,4.42548084497366e-25,6.13492340045485e-22
"ENSSSCG00000012042","ATP5PO","protein_coding",2,15.5327953315189,6.15911336393491e-25,7.82669330722029e-22
"ENSSSCG00000017168","SEPTIN9","protein_coding",6,37.0943028233186,6.80458930915265e-25,7.98178325963606e-22
"ENSSSCG00000002307","ERH","protein_coding",2,11.3568036870338,8.3160438408313e-25,9.05795375205975e-22
"ENSSSCG00000012625","PGRMC1","protein_coding",3,19.2428348122166,1.83801192633388e-24,1.86852292431102e-21
"ENSSSCG00000029521","CD82","protein_coding",3,22.3033883427706,2.53587126603801e-24,2.41684380848836e-21
"ENSSSCG00000037170","POMP","protein_coding",2,13.7725532228852,8.55283824748769e-24,7.67189590799646e-21
"ENSSSCG00000017212","SUMO2","protein_coding",3,13.2567967166151,1.27678852871354e-23,1.08165268190848e-20
"ENSSSCG00000005656",NA,"protein_coding",4,27.7158315199835,1.41181558888542e-23,1.13309346920599e-20
"ENSSSCG00000015710","ACTR3","protein_coding",4,25.6789643804409,1.76056233634664e-23,1.3423407533475e-20
"ENSSSCG00000025295","NDFIP1","protein_coding",4,25.208750607161,2.94086364660921e-23,2.13548713081638e-20
"ENSSSCG00000012811","VBP1","protein_coding",3,14.124947906776,4.97507533117486e-23,3.44840562386752e-20
