"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000006496","LMNA","protein_coding",5,36.3614014275433,2.82129637810775e-53,4.31178725466207e-49
"ENSSSCG00000039094","PLEC","protein_coding",7,53.7219172363945,2.03220957139261e-44,1.55291294397966e-40
"ENSSSCG00000001930","PKM","protein_coding",3,24.7570927989692,6.64876164381927e-34,3.38710080674966e-30
"ENSSSCG00000035690","SFPQ","protein_coding",2,16.5287249256193,1.783602986001e-32,6.81470110876334e-29
"ENSSSCG00000032843","AHRR","protein_coding",2,8.01048993068564,2.23912928006056e-32,6.84412255743311e-29
"ENSSSCG00000012074",NA,"protein_coding",3,18.0355974555252,1.04149506427983e-31,2.65286151123145e-28
"ENSSSCG00000012857","CARS1","protein_coding",4,24.1881570835891,1.9005578200159e-31,4.14946073761471e-28
"ENSSSCG00000032242","HMGA1","protein_coding",2,16.799380602734,3.37253922284292e-31,6.44281461783854e-28
"ENSSSCG00000014031",NA,"protein_coding",3,23.9702652655804,1.14820476770701e-30,1.94977927387403e-27
"ENSSSCG00000013405","EIF4G2","protein_coding",4,33.2609740045922,4.34796362033588e-30,6.64499280095932e-27
"ENSSSCG00000007253","MAPRE1","protein_coding",4,23.5655769484575,5.77090242407847e-30,8.01788197701739e-27
"ENSSSCG00000004392",NA,"protein_coding",2,14.4883201326023,1.31361272072594e-29,1.51462539219376e-26
"ENSSSCG00000014435","CSNK1A1","protein_coding",4,30.1652832400465,1.26763525715482e-29,1.51462539219376e-26
"ENSSSCG00000033537",NA,"lncRNA",3,22.9570832040795,1.38747336849524e-29,1.51462539219376e-26
"ENSSSCG00000025806","FAM118B","protein_coding",2,13.3446637066805,9.73680098928117e-29,9.9205019679456e-26
"ENSSSCG00000063479",NA,"protein_coding",2,10.8455759838854,1.35790328366686e-28,1.29705224276754e-25
"ENSSSCG00000010876","DESI2","protein_coding",2,12.3376423513133,2.62812793226802e-28,2.36268701110895e-25
"ENSSSCG00000016330",NA,"protein_coding",5,26.8549739282579,4.52259233934741e-28,3.83993215123592e-25
"ENSSSCG00000001022","SSR1","protein_coding",4,24.0173440757364,4.81398605876638e-27,3.8722183650593e-24
"ENSSSCG00000006540","PBXIP1","protein_coding",3,18.7021260791798,8.06824676721249e-27,6.16535076716542e-24
"ENSSSCG00000017953","FXR2","protein_coding",2,14.5100972108757,1.60631035473917e-26,1.16901148340375e-23
"ENSSSCG00000016695","HIBADH","protein_coding",2,14.1672131852894,2.44875184483158e-26,1.70110338384368e-23
"ENSSSCG00000001906","CYP1A1","protein_coding",1,5.67838870720576,4.41281803561273e-26,2.9322216538378e-23
"ENSSSCG00000016817","TARS1","protein_coding",3,18.6531190674341,4.81526811820584e-26,3.06632261043916e-23
"ENSSSCG00000003854","ECHDC2","protein_coding",5,20.7979608325454,5.63529691230448e-26,3.44496970842998e-23
"ENSSSCG00000011843","PAK2","protein_coding",3,19.6619179947253,7.7769998663013e-26,4.5713803444878e-23
"ENSSSCG00000004587","MYO1E","protein_coding",3,22.3495175193265,9.8675073660681e-26,5.58537463243032e-23
"ENSSSCG00000006553","UBAP2L","protein_coding",5,31.3307149743261,1.07275779501489e-25,5.85534192186162e-23
"ENSSSCG00000001476","HSD17B8","protein_coding",3,15.3997193914121,4.01707405144877e-25,2.1169980251135e-22
"ENSSSCG00000004651","GALK2","protein_coding",4,21.3030507273998,6.11022777357177e-25,3.11275370211658e-22
"ENSSSCG00000012771","SLC6A8","protein_coding",1,8.34481509180182,6.43153710570701e-25,3.17074779311356e-22
"ENSSSCG00000038253","ZNF326","protein_coding",3,17.6893427734964,1.04752623824799e-24,5.00291984348252e-22
"ENSSSCG00000010368","GLUD1","protein_coding",5,31.6008889541975,1.17390690497875e-24,5.43661188751221e-22
"ENSSSCG00000015648","EIF2D","protein_coding",2,13.2014735953519,2.22635377154424e-24,1.00074602030913e-21
"ENSSSCG00000027973","COG4","protein_coding",4,24.7381494619741,2.65423637859475e-24,1.15899127354467e-21
"ENSSSCG00000011373","IMPDH2","protein_coding",3,19.8587949680918,5.32430938795794e-24,2.26031723267114e-21
"ENSSSCG00000024960","PDGFC","protein_coding",2,11.4746844832105,1.56686401241218e-23,6.47199532478251e-21
"ENSSSCG00000003983","SMAP2","protein_coding",2,14.693244278886,2.14253689964097e-23,8.61694511505603e-21
"ENSSSCG00000016677","GARS1","protein_coding",2,15.7224228564839,3.18322955643223e-23,1.24741787976804e-20
"ENSSSCG00000023105","NET1","protein_coding",3,21.8383195746706,4.22037096665487e-23,1.61249823708466e-20
"ENSSSCG00000040184","LMO7","protein_coding",6,33.9799406536642,5.32598621793909e-23,1.98529383826251e-20
"ENSSSCG00000005055","LGALS3","protein_coding",2,15.8420092942873,6.78247718440293e-23,2.4351827169121e-20
"ENSSSCG00000031791","ARF4","protein_coding",4,20.9919270237156,6.85159044868287e-23,2.4351827169121e-20
"ENSSSCG00000035791","SIX5","protein_coding",2,11.6698935467803,8.68106760533136e-23,3.01528991391544e-20
"ENSSSCG00000035152","TEF","protein_coding",2,12.0780308868364,1.02004233620732e-22,3.46429044983476e-20
"ENSSSCG00000038466","EIF4E2","protein_coding",6,30.4669953577931,1.4849303130132e-22,4.93351955951756e-20
"ENSSSCG00000003217","JOSD2","protein_coding",2,10.9499955829437,2.5473256717468e-22,8.28314430666092e-20
"ENSSSCG00000009967","PITPNB","protein_coding",3,17.5225133480203,3.1484484779524e-22,9.99840426649193e-20
"ENSSSCG00000006489","TMEM79","protein_coding",1,7.9503806294948,3.20566517737424e-22,9.99840426649193e-20
"ENSSSCG00000037793","NIT1","protein_coding",5,24.6594188790929,3.8544201704938e-22,1.17814206931314e-19
"ENSSSCG00000060594",NA,"lncRNA",1,7.48723192468561,6.49906513252708e-22,1.94755318471395e-19
"ENSSSCG00000004139","ADGRG6","protein_coding",3,18.3852033625738,8.42435502355638e-22,2.42923429858514e-19
"ENSSSCG00000002763","PRMT7","protein_coding",4,25.3610696839945,8.27546537217044e-22,2.42923429858514e-19
"ENSSSCG00000007097","SEC23B","protein_coding",2,15.4892902900797,2.16921198299433e-21,6.13927161779672e-19
"ENSSSCG00000009766","ATP6V0A2","protein_coding",2,13.3245813601262,2.91229394968534e-21,8.09247062418928e-19
"ENSSSCG00000013421","PTBP1","protein_coding",5,30.7226237403316,3.11952414668083e-21,8.51351563102198e-19
"ENSSSCG00000029602","WDR37","protein_coding",5,24.5177836789583,3.29287831852453e-21,8.82895777930008e-19
"ENSSSCG00000012657","AIFM1","protein_coding",5,25.0217601607176,6.58052993160238e-21,1.73396963697723e-18
"ENSSSCG00000013302","CAT","protein_coding",2,13.2983978465803,6.71252780269524e-21,1.73877224421341e-18
"ENSSSCG00000006775","CAPZA1","protein_coding",2,15.340166674633,7.33585893941057e-21,1.86856553618353e-18
"ENSSSCG00000009310","POLR1D","protein_coding",2,15.1062489223731,8.95703057823108e-21,2.24410325126403e-18
"ENSSSCG00000004542","NARS1","protein_coding",2,15.8027585713317,1.07549907611004e-20,2.65110522261125e-18
"ENSSSCG00000017385","PSME3","protein_coding",4,23.24183068779,1.44429211738373e-20,3.50366927459928e-18
"ENSSSCG00000003848","LRP8","protein_coding",3,13.3022178287031,1.51800903414329e-20,3.62495813575185e-18
"ENSSSCG00000002723","AARS1","protein_coding",2,15.9982603195517,1.56916156040523e-20,3.68946094271895e-18
